wolf_ID,capture_date,collar_recovery_death,end_date,Month,Day,Year,last_contact,days_to_inact,days_to_death,days_to_fate,fate,fate_num,Anthro_Natural,min_days_inact_death,collar_status,dissap_event,cause_death,poached,unknown,legal,nonhuman,collision,poa_type,known_fate,death_event,FU_poached,FU_Unk_poa,hunt_season,sex,breeder_disp,age_at_death_year,age_at_death_days,age_at_dissap,age_at_collar,collar expected to quit,wolf_year,Comments
10140,14-Sep-87,15-Jun-88,15-Jun-88,11,12,1986,,,275,275,collision,6,1,,,0,collision,0,0,0,0,1,,1,1,,,1,M,,8.139726027,2971,,,,1987-88,
10184,1-Oct-87,29-May-88,29-May-88,5,29,1988,,,241,241,collision,6,1,,,0,collision,0,0,0,0,1,,1,1,,,0,M,,7.082191781,2585,,,,1987-88,
10196,1-Oct-87,23-Jun-88,23-Jun-88,6,23,1988,,,266,266,nonhuman,4,0,,,0,nonhuman,0,0,0,1,0,,1,1,,,0,F,,7.150684932,2610,,,,1987-88,
10205,1-Oct-87,3-Nov-91,3-Nov-91,12,19,1991,,,,1494,agency_removal,7,,,,0,,0,0,0,0,0,,1,0,,,1,F,,,,,,,1991-92,PUT IN SKY KENNEL AND PLACED IN CAPTIVITY TO BE SHIPPED TO GRAHAM 12/19/91
10208,3-Jul-89,31-Jul-89,31-Jul-89,7,31,1989,,,28,28,collision,6,1,,,0,collision,0,0,0,0,1,,1,1,,,0,M,,7.260273973,2650,,,,1988-89,
10211,1-Oct-87,27-Dec-88,27-Dec-88,12,27,1988,,,453,453,nonhuman,4,0,,,0,nonhuman,0,0,0,1,0,,1,1,,,1,M,,6.668493151,2434,,,,1988-89,
10227,1-Oct-87,4-Sep-89,4-Sep-89,9,4,1989,,,704,704,nonhuman,4,0,,,0,nonhuman,0,0,0,1,0,,1,1,,,0,M,,6.37260274,2326,,,,1988-89,
10231,14-Sep-87,16-Dec-87,16-Dec-87,12,16,1987,,,93,93,nonhuman,4,0,,,0,nonhuman,0,0,0,1,0,,1,1,,,1,F,,4.610958904,1683,,,,1987-88,
10300,12-Apr-88,12-Aug-94,12-Aug-94,8,12,1994,,,2313,2313,nonhuman,4,0,,,0,nonhuman,0,0,0,1,0,,1,1,,,0,F,,8.273972603,3020,,,,1993-94,
10304,17-Sep-90,19-Nov-90,19-Nov-90,11,23,1991,,,,63,agency_removal,7,,,,0,,0,0,0,0,0,,1,0,,,1,F,,,,,,,1990-91,"CAPTURED IN 4-COIL #3 SOFT-CATCH, MOVED TO SR AND PLACED WITH 280 FOR 91 BREEDING SEASON. DID NOT PRODUCE PUPS AND SHIPPED TO NORTH CAROLINA ZOOLOGICAL GARDEN 11/23/91"
10313,22-Aug-89,18-Sep-91,18-Sep-91,2,8,1994,,,,757,agency_removal,7,,,,0,,0,0,0,0,0,,1,0,,,1,F,,,,,,,1990-91,PLACED IN PEN BECAUSE OF WANDERING HABITS ALONG RT. 1. 328M (HER MATE) WAS HIT BY VEHICLE AND CONSEQUENTLY HAD TO HAVE RT FRONT LEG REMOVED. 328 IS NOW AT GRAHAM AS A BREEDER. 313 STILL IN CAPTIVITY AS OF 4/3/92
10316,4-Sep-89,,20-Dec-89,12,20,1989,20-Dec-89,107,,107,fu,1,,,inactive,1,,0,0,0,0,0,,0,,1,1,1,F,1,,,969,,,1989-90,
10319,4-Sep-89,1-Apr-94,1-Apr-94,4,1,1994,,,1670,1670,nonhuman,4,0,,,0,nonhuman,0,0,0,1,0,,1,1,,,0,M,,6.936986301,2532,,,,1993-94,
10322,14-Apr-88,2-Jul-88,2-Jul-88,11,20,1990,,,,79,agency_removal,7,,,,0,,0,0,0,0,0,,1,0,,,0,F,,,,,,,1987-88,RETURNED TO CAPTIVITY BECAUSE OF HABIT OF FREQUENTING E. LAKE.
10327,17-Sep-90,4-Oct-90,4-Oct-90,10,4,1990,,,17,17,nonhuman,4,0,,,0,nonhuman,0,0,0,1,0,,1,1,,,1,M,,3.4,1241,,,,1990-91,
10328,22-Aug-89,1-Jul-91,1-Jul-91,12,19,1991,,,,678,agency_removal,7,,,,0,,0,0,0,0,0,,1,0,,,0,M,,,,,,,1990-91,"328 HIT BY VEHICLE BUT NOT KILLED, RETURNED TO CAPTIVITY AS A BREEDER BECAUSE OF INJURIES SUSTAINED DUE TO COLLISION. STILL IN CAPTIVITY AS OF 4/3/92"
10331,25-Jan-89,3-Oct-01,3-Oct-01,10,3,2001,,,4634,4634,nonhuman,4,0,,,0,nonhuman,0,0,0,1,0,,1,1,,,1,M,,13.46027397,4913,,,,2001-02,
